"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","70.38","72.21","72.25","69.99","","-2.74%"
"11/07/2024","72.36","71.87","72.88","70.66","353.60K","0.93%"
"11/06/2024","71.69","72.02","72.63","69.74","388.27K","-0.42%"
"11/05/2024","71.99","71.62","72.67","71.29","247.31K","0.73%"
"11/04/2024","71.47","70.29","71.81","70.25","286.95K","2.85%"
"11/01/2024","69.49","70.44","71.45","69.32","320.57K","0.33%"
"10/31/2024","69.26","69.10","70.81","68.30","311.06K","0.95%"
"10/30/2024","68.61","67.47","69.17","67.28","284.80K","2.08%"
"10/29/2024","67.21","68.02","68.52","66.72","291.93K","-0.25%"
"10/28/2024","67.38","68.98","69.00","66.92","419.62K","-6.13%"
"10/25/2024","71.78","70.33","71.92","69.96","287.19K","2.27%"
"10/24/2024","70.19","71.02","72.34","69.77","286.57K","-0.82%"
"10/23/2024","70.77","71.35","71.72","70.13","293.84K","-1.83%"
"10/22/2024","72.09","70.49","72.66","70.05","32.18K","2.93%"
"10/21/2024","70.04","68.94","70.39","68.46","302.75K","1.97%"
"10/18/2024","68.69","70.17","70.67","68.17","335.56K","-2.00%"
"10/17/2024","70.09","70.11","70.53","68.89","228.84K","0.39%"
"10/16/2024","69.82","70.39","70.69","69.12","181.55K","-0.27%"
"10/15/2024","70.01","71.14","71.57","69.20","244.86K","-4.41%"
"10/14/2024","73.24","74.26","74.35","71.24","174.47K","-2.15%"
"10/11/2024","74.85","75.00","75.28","73.85","217.34K","-0.35%"
"10/10/2024","75.11","72.73","75.45","72.62","206.39K","3.47%"
"10/09/2024","72.59","73.27","73.82","71.00","228.02K","-0.53%"
"10/08/2024","72.98","76.63","77.70","72.12","329.53K","-4.56%"
"10/07/2024","76.47","73.76","76.70","73.01","257.21K","3.79%"
"10/04/2024","73.68","73.35","74.84","72.94","262.04K","0.70%"
"10/03/2024","73.17","70.49","73.51","70.08","275.08K","4.99%"
"10/02/2024","69.69","70.30","71.95","69.45","241.14K","0.43%"
