"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","2.150","2.455","2.490","2.140","2.74M","-12.60%"
"11/07/2024","2.460","2.350","2.470","2.330","2.81M","1.65%"
"11/06/2024","2.420","2.330","2.440","2.300","3.07M","7.56%"
"11/05/2024","2.250","2.140","2.250","2.135","1.61M","5.14%"
"11/04/2024","2.140","2.110","2.200","2.105","1.24M","2.39%"
"11/01/2024","2.090","2.160","2.170","2.075","1.17M","-1.88%"
"10/31/2024","2.130","2.180","2.220","2.100","1.09M","-1.39%"
"10/30/2024","2.160","2.170","2.190","2.130","1.34M","0.93%"
"10/29/2024","2.140","2.060","2.145","2.060","2.30M","3.88%"
"10/28/2024","2.060","2.050","2.100","2.040","1.62M","-4.19%"
"10/25/2024","2.150","2.140","2.190","2.130","820.96K","1.42%"
"10/24/2024","2.120","2.090","2.130","2.080","862.14K","1.44%"
"10/23/2024","2.090","2.100","2.120","2.060","1.03M","-0.95%"
"10/22/2024","2.110","2.120","2.128","2.080","1.15M","0.48%"
"10/21/2024","2.100","2.120","2.150","2.070","1.17M","-0.47%"
"10/18/2024","2.110","2.100","2.120","2.080","1.26M","0.96%"
"10/17/2024","2.090","2.040","2.100","2.040","954.22K","2.45%"
"10/16/2024","2.040","2.010","2.050","1.990","2.53M","2.51%"
"10/15/2024","1.990","2.070","2.080","1.980","4.27M","-6.57%"
"10/14/2024","2.130","2.220","2.225","2.120","2.06M","-4.91%"
"10/11/2024","2.240","2.210","2.260","2.210","1.87M","0.00%"
"10/10/2024","2.240","2.320","2.320","2.210","1.94M","-0.88%"
"10/09/2024","2.260","2.370","2.370","2.250","2.10M","-4.64%"
"10/08/2024","2.370","2.700","2.710","2.320","4.24M","-15.05%"
"10/07/2024","2.790","2.720","2.840","2.700","3.07M","4.10%"
"10/04/2024","2.680","2.760","2.820","2.510","5.88M","-0.74%"
"10/03/2024","2.700","2.480","2.720","2.430","5.28M","11.11%"
"10/02/2024","2.430","2.400","2.470","2.350","4.59M","4.74%"
"10/01/2024","2.320","2.140","2.320","2.117","3.19M","7.91%"
"09/30/2024","2.150","2.070","2.190","2.065","2.62M","3.86%"
"09/27/2024","2.070","2.020","2.110","2.020","2.18M","2.99%"
"09/26/2024","2.010","1.990","2.040","1.971","1.45M","-1.47%"
"09/25/2024","2.040","2.110","2.120","2.030","937.62K","-3.77%"
"09/24/2024","2.120","2.140","2.155","2.110","823.26K","1.44%"
"09/23/2024","2.090","2.100","2.145","2.070","683.97K","0.48%"
"09/20/2024","2.080","2.090","2.125","2.055","2.10M","-1.42%"
"09/19/2024","2.110","2.180","2.182","2.100","764.54K","0.00%"
"09/18/2024","2.110","2.130","2.215","2.100","1.08M","-0.47%"
"09/17/2024","2.120","2.060","2.150","2.050","1.44M","3.92%"
"09/16/2024","2.040","2.040","2.040","1.980","810.57K","0.00%"
"09/13/2024","2.040","1.960","2.040","1.955","1.34M","5.15%"
"09/12/2024","1.940","2.010","2.010","1.920","1.54M","-1.52%"
"09/11/2024","1.970","2.020","2.030","1.930","2.03M","-2.48%"
"09/10/2024","2.020","2.020","2.030","1.950","1.71M","-0.49%"
"09/09/2024","2.030","2.050","2.060","2.010","1.26M","0.50%"
"09/06/2024","2.020","2.040","2.070","2.000","1.11M","-0.98%"
"09/05/2024","2.040","2.010","2.068","1.995","1.32M","2.51%"
"09/04/2024","1.990","2.110","2.120","1.980","2.11M","-5.24%"
"09/03/2024","2.100","2.250","2.260","2.095","1.66M","-8.30%"
"08/30/2024","2.290","2.310","2.310","2.270","837.31K","-2.14%"
"08/29/2024","2.340","2.300","2.350","2.275","801.91K","3.08%"
"08/28/2024","2.270","2.310","2.310","2.250","862.87K","-2.58%"
"08/27/2024","2.330","2.350","2.360","2.310","731.22K","-2.10%"
"08/26/2024","2.380","2.360","2.410","2.350","976.51K","2.15%"
"08/23/2024","2.330","2.260","2.340","2.260","1.11M","4.02%"
"08/22/2024","2.240","2.270","2.300","2.240","762.01K","-1.32%"
"08/21/2024","2.270","2.260","2.280","2.243","841.93K","0.44%"
"08/20/2024","2.260","2.270","2.285","2.210","611.96K","-1.31%"
"08/19/2024","2.290","2.250","2.310","2.250","707.39K","1.78%"
"08/16/2024","2.250","2.270","2.330","2.250","1.28M","-1.75%"
"08/15/2024","2.290","2.230","2.360","2.230","1.55M","3.15%"
